main_name,main_publish_date,name,index_publish_date,requested_return_start_date,return_start_relation,data_start_date,base_date,effective_return_start_date,visible_start_date,base_close,last_date,last_close,cum_return_pct,annualized_return_pct,max_drawdown_pct,source_path,data_note
央企红利指数（50）,2012-07-20,港股红利指数（30）,2016-06-08,2016-06-08,starts_at_index_publish,2014-11-14,2016-06-08,2016-06-08,2016-06-08,0.97843,2026-04-30,3.862322166666667,294.7469074605917,14.890419074453076,39.29690689757523,result/dividend_total_return_index_skills/hk-dividend-30-total-return/csv/hk-dividend-30-total-return_daily.csv,per_index_skill_total_return
央企红利指数（50）,2012-07-20,恒生红利低波动指数（50）,2017-05-08,2017-05-08,starts_at_index_publish_next_available,2019-08-12,2019-08-12,2019-08-12,2019-08-12,1000.0,2026-05-01,1698.0958945423456,69.80958945423457,8.199999999998386,33.349647169695906,result/hsi_hshylv_total_return_fit/csv/hshylv_fitted_total_return_daily.csv,价格指数可得起点 2019-08-12 晚于参考基准日 2010-09-30；本结果是截断区间拟合，不是 2010-09-30 起完整拟合。；拟合估算曲线，不是官方 HSHYLVDV/HSHYLVN 历史点位。若要严谨对比，应取得官方全收益历史日线或覆盖基准日的价格日线。
央企红利指数（50）,2012-07-20,中证红利低波动指数（100）,2017-05-26,2017-05-26,starts_at_index_publish,2015-11-09,2017-05-26,2017-05-26,2017-05-26,12.7424,2026-04-30,23.1923902,82.00959159969862,6.937984487978888,26.174383118484947,result/dividend_total_return_index_skills/csi-dividend-low-volatility-100-total-return/csv/csi-dividend-low-volatility-100-total-return_daily.csv,per_index_skill_total_return
央企红利指数（50）,2012-07-20,沪港深红利成长低波动指数（100）,2019-04-25,2019-04-25,starts_at_index_publish,2017-05-19,2019-04-25,2019-04-25,2019-04-25,6187.08,2026-04-30,11850.84,91.54172889311273,9.70861022450691,21.205711771529135,result/dividend_total_return_indices/csv/沪港深红利成长低波动指数_100__daily.csv,official_or_project_total_return
央企红利指数（50）,2012-07-20,红利质量指数（50）,2020-05-21,2020-05-21,starts_at_index_publish,2014-06-23,2020-05-21,2020-05-21,2020-05-21,34.78221676958162,2026-04-30,56.50191661180072,62.44484066700948,8.508958154051903,29.1950257296792,result/dividend_total_return_index_skills/dividend-quality-50-total-return/csv/dividend-quality-50-total-return_daily.csv,per_index_skill_total_return
央企红利指数（50）,2012-07-20,龙头红利指数（50）,2021-12-17,2021-12-17,starts_at_index_publish,2011-10-24,2021-12-17,2021-12-17,2021-12-17,5897.39,2026-04-30,8005.24,35.742082514468244,7.248494930135618,19.980398944858614,result/dividend_total_return_index_skills/leading-dividend-50-total-return/csv/leading-dividend-50-total-return_daily.csv,per_index_skill_total_return
央企红利指数（50）,2012-07-20,港股通央企红利指数（48）,2023-09-13,2023-09-13,starts_at_index_publish,2018-02-01,2023-09-13,2023-09-13,2023-09-13,1505.42,2026-04-30,2662.21,76.84167873417384,24.221913360878954,20.776646053110216,result/dividend_total_return_index_skills/hk-connect-central-soe-dividend-48-total-return/csv/hk-connect-central-soe-dividend-48-total-return_daily.csv,per_index_skill_total_return
央企红利指数（50）,2012-07-20,国证自由现金流指数（100）,2024-08-15,2024-08-15,starts_at_index_publish,2014-10-13,2024-08-15,2024-08-15,2024-08-15,6191.0028,2026-04-30,9011.7777,45.562487873531566,24.621221712892382,15.844401254153329,result/dividend_total_return_index_skills/cni-free-cash-flow-100-total-return/csv/cni-free-cash-flow-100-total-return_daily.csv,per_index_skill_total_return
央企红利指数（50）,2012-07-20,中证全指自由现金流指数（100）,2024-12-11,2024-12-11,starts_at_index_publish,2014-09-17,2024-12-11,2024-12-11,2024-12-11,7306.83,2026-04-30,9158.95,25.34779103934266,17.75099684504058,14.212171130680007,result/dividend_total_return_indices/csv/中证全指自由现金流指数_100__daily.csv,official_or_project_total_return
国企红利指数（100）,2012-07-20,上证红利指数（50）,2005-01-04,2012-07-20,starts_at_main_publish,2006-06-28,2012-07-20,2012-07-20,2012-07-20,2141.55,2026-04-30,7618.7,255.7563447036025,9.649249919284951,46.54194537470633,result/dividend_total_return_indices/csv/上证红利指数_50__daily.csv,official_or_project_total_return
国企红利指数（100）,2012-07-20,中证红利指数（100）,2008-05-26,2012-07-20,starts_at_main_publish,2005-01-04,2012-07-20,2012-07-20,2012-07-20,2.868448533194778,2026-04-30,12.560321021236712,337.87855615619026,11.314809464323838,45.659296257350945,result/dividend_total_return_index_skills/csi-dividend-100-total-return/csv/csi-dividend-100-total-return_daily.csv,per_index_skill_total_return
国企红利指数（100）,2012-07-20,央企红利指数（50）,2012-07-20,2012-07-20,starts_at_main_publish_next_available,2017-01-26,2017-01-26,2017-01-26,2017-01-26,1.7235204602780847,2026-04-30,3.4762251672885705,101.6932927345517,7.873773113954141,26.466209116719963,result/dividend_total_return_index_skills/central-soe-dividend-50-total-return/csv/central-soe-dividend-50-total-return_daily.csv,per_index_skill_total_return
国企红利指数（100）,2012-07-20,国企红利指数（100）,2012-07-20,2012-07-20,starts_at_main_publish_next_available,2017-01-24,2017-01-24,2017-01-24,2017-01-24,1.9351186420161477,2026-04-30,4.429445905939979,128.8978985456447,9.352620751139096,26.794434901277818,result/dividend_total_return_index_skills/state-owned-enterprise-dividend-100-total-return/csv/state-owned-enterprise-dividend-100-total-return_daily.csv,per_index_skill_total_return
国企红利指数（100）,2012-07-20,消费红利指数（50）,2013-07-02,2013-07-02,starts_at_index_publish_next_available,2015-11-03,2015-11-03,2015-11-03,2015-11-03,1.7739081321258376,2026-04-30,5.791693171007222,226.49341113660165,11.94201427646082,36.558235334561154,result/dividend_total_return_index_skills/consumer-dividend-50-total-return/csv/consumer-dividend-50-total-return_daily.csv,per_index_skill_total_return
国企红利指数（100）,2012-07-20,中证红利低波动指数（50）,2013-12-19,2013-12-19,starts_at_index_publish_next_available,2017-03-13,2017-03-13,2017-03-13,2017-03-13,11.0052,2026-04-30,23.9599088,117.71443317704357,8.894385757235224,27.527593189401934,result/dividend_total_return_index_skills/csi-dividend-low-volatility-50-total-return/csv/csi-dividend-low-volatility-50-total-return_daily.csv,per_index_skill_total_return
国企红利指数（100）,2012-07-20,港股红利指数（30）,2016-06-08,2016-06-08,starts_at_index_publish,2014-11-14,2016-06-08,2016-06-08,2016-06-08,0.97843,2026-04-30,3.862322166666667,294.7469074605917,14.890419074453076,39.29690689757523,result/dividend_total_return_index_skills/hk-dividend-30-total-return/csv/hk-dividend-30-total-return_daily.csv,per_index_skill_total_return
国企红利指数（100）,2012-07-20,恒生红利低波动指数（50）,2017-05-08,2017-05-08,starts_at_index_publish_next_available,2019-08-12,2019-08-12,2019-08-12,2019-08-12,1000.0,2026-05-01,1698.0958945423456,69.80958945423457,8.199999999998386,33.349647169695906,result/hsi_hshylv_total_return_fit/csv/hshylv_fitted_total_return_daily.csv,价格指数可得起点 2019-08-12 晚于参考基准日 2010-09-30；本结果是截断区间拟合，不是 2010-09-30 起完整拟合。；拟合估算曲线，不是官方 HSHYLVDV/HSHYLVN 历史点位。若要严谨对比，应取得官方全收益历史日线或覆盖基准日的价格日线。
国企红利指数（100）,2012-07-20,中证红利低波动指数（100）,2017-05-26,2017-05-26,starts_at_index_publish,2015-11-09,2017-05-26,2017-05-26,2017-05-26,12.7424,2026-04-30,23.1923902,82.00959159969862,6.937984487978888,26.174383118484947,result/dividend_total_return_index_skills/csi-dividend-low-volatility-100-total-return/csv/csi-dividend-low-volatility-100-total-return_daily.csv,per_index_skill_total_return
国企红利指数（100）,2012-07-20,沪港深红利成长低波动指数（100）,2019-04-25,2019-04-25,starts_at_index_publish,2017-05-19,2019-04-25,2019-04-25,2019-04-25,6187.08,2026-04-30,11850.84,91.54172889311273,9.70861022450691,21.205711771529135,result/dividend_total_return_indices/csv/沪港深红利成长低波动指数_100__daily.csv,official_or_project_total_return
国企红利指数（100）,2012-07-20,红利质量指数（50）,2020-05-21,2020-05-21,starts_at_index_publish,2014-06-23,2020-05-21,2020-05-21,2020-05-21,34.78221676958162,2026-04-30,56.50191661180072,62.44484066700948,8.508958154051903,29.1950257296792,result/dividend_total_return_index_skills/dividend-quality-50-total-return/csv/dividend-quality-50-total-return_daily.csv,per_index_skill_total_return
国企红利指数（100）,2012-07-20,龙头红利指数（50）,2021-12-17,2021-12-17,starts_at_index_publish,2011-10-24,2021-12-17,2021-12-17,2021-12-17,5897.39,2026-04-30,8005.24,35.742082514468244,7.248494930135618,19.980398944858614,result/dividend_total_return_index_skills/leading-dividend-50-total-return/csv/leading-dividend-50-total-return_daily.csv,per_index_skill_total_return
国企红利指数（100）,2012-07-20,港股通央企红利指数（48）,2023-09-13,2023-09-13,starts_at_index_publish,2018-02-01,2023-09-13,2023-09-13,2023-09-13,1505.42,2026-04-30,2662.21,76.84167873417384,24.221913360878954,20.776646053110216,result/dividend_total_return_index_skills/hk-connect-central-soe-dividend-48-total-return/csv/hk-connect-central-soe-dividend-48-total-return_daily.csv,per_index_skill_total_return
国企红利指数（100）,2012-07-20,国证自由现金流指数（100）,2024-08-15,2024-08-15,starts_at_index_publish,2014-10-13,2024-08-15,2024-08-15,2024-08-15,6191.0028,2026-04-30,9011.7777,45.562487873531566,24.621221712892382,15.844401254153329,result/dividend_total_return_index_skills/cni-free-cash-flow-100-total-return/csv/cni-free-cash-flow-100-total-return_daily.csv,per_index_skill_total_return
国企红利指数（100）,2012-07-20,中证全指自由现金流指数（100）,2024-12-11,2024-12-11,starts_at_index_publish,2014-09-17,2024-12-11,2024-12-11,2024-12-11,7306.83,2026-04-30,9158.95,25.34779103934266,17.75099684504058,14.212171130680007,result/dividend_total_return_indices/csv/中证全指自由现金流指数_100__daily.csv,official_or_project_total_return
消费红利指数（50）,2013-07-02,上证红利指数（50）,2005-01-04,2013-07-02,starts_at_main_publish,2006-06-28,2013-07-02,2013-07-02,2013-07-02,2086.54,2026-04-30,7618.7,265.135583310169,10.62411633075595,46.54194537470633,result/dividend_total_return_indices/csv/上证红利指数_50__daily.csv,official_or_project_total_return
消费红利指数（50）,2013-07-02,中证红利指数（100）,2008-05-26,2013-07-02,starts_at_main_publish,2005-01-04,2013-07-02,2013-07-02,2013-07-02,2.774047302494512,2026-04-30,12.560321021236712,352.7796267187683,12.49519605330578,45.659296257350945,result/dividend_total_return_index_skills/csi-dividend-100-total-return/csv/csi-dividend-100-total-return_daily.csv,per_index_skill_total_return
消费红利指数（50）,2013-07-02,央企红利指数（50）,2012-07-20,2013-07-02,starts_at_main_publish_next_available,2017-01-26,2017-01-26,2017-01-26,2017-01-26,1.7235204602780847,2026-04-30,3.4762251672885705,101.6932927345517,7.873773113954141,26.466209116719963,result/dividend_total_return_index_skills/central-soe-dividend-50-total-return/csv/central-soe-dividend-50-total-return_daily.csv,per_index_skill_total_return
消费红利指数（50）,2013-07-02,国企红利指数（100）,2012-07-20,2013-07-02,starts_at_main_publish_next_available,2017-01-24,2017-01-24,2017-01-24,2017-01-24,1.9351186420161477,2026-04-30,4.429445905939979,128.8978985456447,9.352620751139096,26.794434901277818,result/dividend_total_return_index_skills/state-owned-enterprise-dividend-100-total-return/csv/state-owned-enterprise-dividend-100-total-return_daily.csv,per_index_skill_total_return
消费红利指数（50）,2013-07-02,消费红利指数（50）,2013-07-02,2013-07-02,starts_at_main_publish_next_available,2015-11-03,2015-11-03,2015-11-03,2015-11-03,1.7739081321258376,2026-04-30,5.791693171007222,226.49341113660165,11.94201427646082,36.558235334561154,result/dividend_total_return_index_skills/consumer-dividend-50-total-return/csv/consumer-dividend-50-total-return_daily.csv,per_index_skill_total_return
消费红利指数（50）,2013-07-02,中证红利低波动指数（50）,2013-12-19,2013-12-19,starts_at_index_publish_next_available,2017-03-13,2017-03-13,2017-03-13,2017-03-13,11.0052,2026-04-30,23.9599088,117.71443317704357,8.894385757235224,27.527593189401934,result/dividend_total_return_index_skills/csi-dividend-low-volatility-50-total-return/csv/csi-dividend-low-volatility-50-total-return_daily.csv,per_index_skill_total_return
消费红利指数（50）,2013-07-02,港股红利指数（30）,2016-06-08,2016-06-08,starts_at_index_publish,2014-11-14,2016-06-08,2016-06-08,2016-06-08,0.97843,2026-04-30,3.862322166666667,294.7469074605917,14.890419074453076,39.29690689757523,result/dividend_total_return_index_skills/hk-dividend-30-total-return/csv/hk-dividend-30-total-return_daily.csv,per_index_skill_total_return
消费红利指数（50）,2013-07-02,恒生红利低波动指数（50）,2017-05-08,2017-05-08,starts_at_index_publish_next_available,2019-08-12,2019-08-12,2019-08-12,2019-08-12,1000.0,2026-05-01,1698.0958945423456,69.80958945423457,8.199999999998386,33.349647169695906,result/hsi_hshylv_total_return_fit/csv/hshylv_fitted_total_return_daily.csv,价格指数可得起点 2019-08-12 晚于参考基准日 2010-09-30；本结果是截断区间拟合，不是 2010-09-30 起完整拟合。；拟合估算曲线，不是官方 HSHYLVDV/HSHYLVN 历史点位。若要严谨对比，应取得官方全收益历史日线或覆盖基准日的价格日线。
消费红利指数（50）,2013-07-02,中证红利低波动指数（100）,2017-05-26,2017-05-26,starts_at_index_publish,2015-11-09,2017-05-26,2017-05-26,2017-05-26,12.7424,2026-04-30,23.1923902,82.00959159969862,6.937984487978888,26.174383118484947,result/dividend_total_return_index_skills/csi-dividend-low-volatility-100-total-return/csv/csi-dividend-low-volatility-100-total-return_daily.csv,per_index_skill_total_return
消费红利指数（50）,2013-07-02,沪港深红利成长低波动指数（100）,2019-04-25,2019-04-25,starts_at_index_publish,2017-05-19,2019-04-25,2019-04-25,2019-04-25,6187.08,2026-04-30,11850.84,91.54172889311273,9.70861022450691,21.205711771529135,result/dividend_total_return_indices/csv/沪港深红利成长低波动指数_100__daily.csv,official_or_project_total_return
消费红利指数（50）,2013-07-02,红利质量指数（50）,2020-05-21,2020-05-21,starts_at_index_publish,2014-06-23,2020-05-21,2020-05-21,2020-05-21,34.78221676958162,2026-04-30,56.50191661180072,62.44484066700948,8.508958154051903,29.1950257296792,result/dividend_total_return_index_skills/dividend-quality-50-total-return/csv/dividend-quality-50-total-return_daily.csv,per_index_skill_total_return
消费红利指数（50）,2013-07-02,龙头红利指数（50）,2021-12-17,2021-12-17,starts_at_index_publish,2011-10-24,2021-12-17,2021-12-17,2021-12-17,5897.39,2026-04-30,8005.24,35.742082514468244,7.248494930135618,19.980398944858614,result/dividend_total_return_index_skills/leading-dividend-50-total-return/csv/leading-dividend-50-total-return_daily.csv,per_index_skill_total_return
消费红利指数（50）,2013-07-02,港股通央企红利指数（48）,2023-09-13,2023-09-13,starts_at_index_publish,2018-02-01,2023-09-13,2023-09-13,2023-09-13,1505.42,2026-04-30,2662.21,76.84167873417384,24.221913360878954,20.776646053110216,result/dividend_total_return_index_skills/hk-connect-central-soe-dividend-48-total-return/csv/hk-connect-central-soe-dividend-48-total-return_daily.csv,per_index_skill_total_return
消费红利指数（50）,2013-07-02,国证自由现金流指数（100）,2024-08-15,2024-08-15,starts_at_index_publish,2014-10-13,2024-08-15,2024-08-15,2024-08-15,6191.0028,2026-04-30,9011.7777,45.562487873531566,24.621221712892382,15.844401254153329,result/dividend_total_return_index_skills/cni-free-cash-flow-100-total-return/csv/cni-free-cash-flow-100-total-return_daily.csv,per_index_skill_total_return
消费红利指数（50）,2013-07-02,中证全指自由现金流指数（100）,2024-12-11,2024-12-11,starts_at_index_publish,2014-09-17,2024-12-11,2024-12-11,2024-12-11,7306.83,2026-04-30,9158.95,25.34779103934266,17.75099684504058,14.212171130680007,result/dividend_total_return_indices/csv/中证全指自由现金流指数_100__daily.csv,official_or_project_total_return
中证红利低波动指数（50）,2013-12-19,上证红利指数（50）,2005-01-04,2013-12-19,starts_at_main_publish,2006-06-28,2013-12-19,2013-12-19,2013-12-19,2172.34,2026-04-30,7618.7,250.71397663349194,10.684058248059758,46.54194537470633,result/dividend_total_return_indices/csv/上证红利指数_50__daily.csv,official_or_project_total_return
中证红利低波动指数（50）,2013-12-19,中证红利指数（100）,2008-05-26,2013-12-19,starts_at_main_publish,2005-01-04,2013-12-19,2013-12-19,2013-12-19,2.9408336771755024,2026-04-30,12.560321021236712,327.10069320547774,12.462572652202608,45.659296257350945,result/dividend_total_return_index_skills/csi-dividend-100-total-return/csv/csi-dividend-100-total-return_daily.csv,per_index_skill_total_return
中证红利低波动指数（50）,2013-12-19,央企红利指数（50）,2012-07-20,2013-12-19,starts_at_main_publish_next_available,2017-01-26,2017-01-26,2017-01-26,2017-01-26,1.7235204602780847,2026-04-30,3.4762251672885705,101.6932927345517,7.873773113954141,26.466209116719963,result/dividend_total_return_index_skills/central-soe-dividend-50-total-return/csv/central-soe-dividend-50-total-return_daily.csv,per_index_skill_total_return
中证红利低波动指数（50）,2013-12-19,国企红利指数（100）,2012-07-20,2013-12-19,starts_at_main_publish_next_available,2017-01-24,2017-01-24,2017-01-24,2017-01-24,1.9351186420161477,2026-04-30,4.429445905939979,128.8978985456447,9.352620751139096,26.794434901277818,result/dividend_total_return_index_skills/state-owned-enterprise-dividend-100-total-return/csv/state-owned-enterprise-dividend-100-total-return_daily.csv,per_index_skill_total_return
中证红利低波动指数（50）,2013-12-19,消费红利指数（50）,2013-07-02,2013-12-19,starts_at_main_publish_next_available,2015-11-03,2015-11-03,2015-11-03,2015-11-03,1.7739081321258376,2026-04-30,5.791693171007222,226.49341113660165,11.94201427646082,36.558235334561154,result/dividend_total_return_index_skills/consumer-dividend-50-total-return/csv/consumer-dividend-50-total-return_daily.csv,per_index_skill_total_return
中证红利低波动指数（50）,2013-12-19,中证红利低波动指数（50）,2013-12-19,2013-12-19,starts_at_main_publish_next_available,2017-03-13,2017-03-13,2017-03-13,2017-03-13,11.0052,2026-04-30,23.9599088,117.71443317704357,8.894385757235224,27.527593189401934,result/dividend_total_return_index_skills/csi-dividend-low-volatility-50-total-return/csv/csi-dividend-low-volatility-50-total-return_daily.csv,per_index_skill_total_return
中证红利低波动指数（50）,2013-12-19,港股红利指数（30）,2016-06-08,2016-06-08,starts_at_index_publish,2014-11-14,2016-06-08,2016-06-08,2016-06-08,0.97843,2026-04-30,3.862322166666667,294.7469074605917,14.890419074453076,39.29690689757523,result/dividend_total_return_index_skills/hk-dividend-30-total-return/csv/hk-dividend-30-total-return_daily.csv,per_index_skill_total_return
中证红利低波动指数（50）,2013-12-19,恒生红利低波动指数（50）,2017-05-08,2017-05-08,starts_at_index_publish_next_available,2019-08-12,2019-08-12,2019-08-12,2019-08-12,1000.0,2026-05-01,1698.0958945423456,69.80958945423457,8.199999999998386,33.349647169695906,result/hsi_hshylv_total_return_fit/csv/hshylv_fitted_total_return_daily.csv,价格指数可得起点 2019-08-12 晚于参考基准日 2010-09-30；本结果是截断区间拟合，不是 2010-09-30 起完整拟合。；拟合估算曲线，不是官方 HSHYLVDV/HSHYLVN 历史点位。若要严谨对比，应取得官方全收益历史日线或覆盖基准日的价格日线。
中证红利低波动指数（50）,2013-12-19,中证红利低波动指数（100）,2017-05-26,2017-05-26,starts_at_index_publish,2015-11-09,2017-05-26,2017-05-26,2017-05-26,12.7424,2026-04-30,23.1923902,82.00959159969862,6.937984487978888,26.174383118484947,result/dividend_total_return_index_skills/csi-dividend-low-volatility-100-total-return/csv/csi-dividend-low-volatility-100-total-return_daily.csv,per_index_skill_total_return
中证红利低波动指数（50）,2013-12-19,沪港深红利成长低波动指数（100）,2019-04-25,2019-04-25,starts_at_index_publish,2017-05-19,2019-04-25,2019-04-25,2019-04-25,6187.08,2026-04-30,11850.84,91.54172889311273,9.70861022450691,21.205711771529135,result/dividend_total_return_indices/csv/沪港深红利成长低波动指数_100__daily.csv,official_or_project_total_return
中证红利低波动指数（50）,2013-12-19,红利质量指数（50）,2020-05-21,2020-05-21,starts_at_index_publish,2014-06-23,2020-05-21,2020-05-21,2020-05-21,34.78221676958162,2026-04-30,56.50191661180072,62.44484066700948,8.508958154051903,29.1950257296792,result/dividend_total_return_index_skills/dividend-quality-50-total-return/csv/dividend-quality-50-total-return_daily.csv,per_index_skill_total_return
中证红利低波动指数（50）,2013-12-19,龙头红利指数（50）,2021-12-17,2021-12-17,starts_at_index_publish,2011-10-24,2021-12-17,2021-12-17,2021-12-17,5897.39,2026-04-30,8005.24,35.742082514468244,7.248494930135618,19.980398944858614,result/dividend_total_return_index_skills/leading-dividend-50-total-return/csv/leading-dividend-50-total-return_daily.csv,per_index_skill_total_return
中证红利低波动指数（50）,2013-12-19,港股通央企红利指数（48）,2023-09-13,2023-09-13,starts_at_index_publish,2018-02-01,2023-09-13,2023-09-13,2023-09-13,1505.42,2026-04-30,2662.21,76.84167873417384,24.221913360878954,20.776646053110216,result/dividend_total_return_index_skills/hk-connect-central-soe-dividend-48-total-return/csv/hk-connect-central-soe-dividend-48-total-return_daily.csv,per_index_skill_total_return
中证红利低波动指数（50）,2013-12-19,国证自由现金流指数（100）,2024-08-15,2024-08-15,starts_at_index_publish,2014-10-13,2024-08-15,2024-08-15,2024-08-15,6191.0028,2026-04-30,9011.7777,45.562487873531566,24.621221712892382,15.844401254153329,result/dividend_total_return_index_skills/cni-free-cash-flow-100-total-return/csv/cni-free-cash-flow-100-total-return_daily.csv,per_index_skill_total_return
中证红利低波动指数（50）,2013-12-19,中证全指自由现金流指数（100）,2024-12-11,2024-12-11,starts_at_index_publish,2014-09-17,2024-12-11,2024-12-11,2024-12-11,7306.83,2026-04-30,9158.95,25.34779103934266,17.75099684504058,14.212171130680007,result/dividend_total_return_indices/csv/中证全指自由现金流指数_100__daily.csv,official_or_project_total_return
港股红利指数（30）,2016-06-08,上证红利指数（50）,2005-01-04,2016-06-08,starts_at_main_publish,2006-06-28,2016-06-08,2016-06-08,2016-06-08,3301.26,2026-04-30,7618.7,130.78158036628435,8.82212262736546,23.391061168454776,result/dividend_total_return_indices/csv/上证红利指数_50__daily.csv,official_or_project_total_return
港股红利指数（30）,2016-06-08,中证红利指数（100）,2008-05-26,2016-06-08,starts_at_main_publish,2005-01-04,2016-06-08,2016-06-08,2016-06-08,5.123635455985656,2026-04-30,12.560321021236712,145.14470494896733,9.488371774982118,27.08301693562153,result/dividend_total_return_index_skills/csi-dividend-100-total-return/csv/csi-dividend-100-total-return_daily.csv,per_index_skill_total_return
港股红利指数（30）,2016-06-08,央企红利指数（50）,2012-07-20,2016-06-08,starts_at_main_publish_next_available,2017-01-26,2017-01-26,2017-01-26,2017-01-26,1.7235204602780847,2026-04-30,3.4762251672885705,101.6932927345517,7.873773113954141,26.466209116719963,result/dividend_total_return_index_skills/central-soe-dividend-50-total-return/csv/central-soe-dividend-50-total-return_daily.csv,per_index_skill_total_return
港股红利指数（30）,2016-06-08,国企红利指数（100）,2012-07-20,2016-06-08,starts_at_main_publish_next_available,2017-01-24,2017-01-24,2017-01-24,2017-01-24,1.9351186420161477,2026-04-30,4.429445905939979,128.8978985456447,9.352620751139096,26.794434901277818,result/dividend_total_return_index_skills/state-owned-enterprise-dividend-100-total-return/csv/state-owned-enterprise-dividend-100-total-return_daily.csv,per_index_skill_total_return
港股红利指数（30）,2016-06-08,消费红利指数（50）,2013-07-02,2016-06-08,starts_at_main_publish,2015-11-03,2016-06-08,2016-06-08,2016-06-08,1.9534110603096333,2026-04-30,5.791693171007222,196.4912653913809,11.613628960227906,36.558235334561154,result/dividend_total_return_index_skills/consumer-dividend-50-total-return/csv/consumer-dividend-50-total-return_daily.csv,per_index_skill_total_return
港股红利指数（30）,2016-06-08,中证红利低波动指数（50）,2013-12-19,2016-06-08,starts_at_main_publish_next_available,2017-03-13,2017-03-13,2017-03-13,2017-03-13,11.0052,2026-04-30,23.9599088,117.71443317704357,8.894385757235224,27.527593189401934,result/dividend_total_return_index_skills/csi-dividend-low-volatility-50-total-return/csv/csi-dividend-low-volatility-50-total-return_daily.csv,per_index_skill_total_return
港股红利指数（30）,2016-06-08,港股红利指数（30）,2016-06-08,2016-06-08,starts_at_main_publish,2014-11-14,2016-06-08,2016-06-08,2016-06-08,0.97843,2026-04-30,3.862322166666667,294.7469074605917,14.890419074453076,39.29690689757523,result/dividend_total_return_index_skills/hk-dividend-30-total-return/csv/hk-dividend-30-total-return_daily.csv,per_index_skill_total_return
港股红利指数（30）,2016-06-08,恒生红利低波动指数（50）,2017-05-08,2017-05-08,starts_at_index_publish_next_available,2019-08-12,2019-08-12,2019-08-12,2019-08-12,1000.0,2026-05-01,1698.0958945423456,69.80958945423457,8.199999999998386,33.349647169695906,result/hsi_hshylv_total_return_fit/csv/hshylv_fitted_total_return_daily.csv,价格指数可得起点 2019-08-12 晚于参考基准日 2010-09-30；本结果是截断区间拟合，不是 2010-09-30 起完整拟合。；拟合估算曲线，不是官方 HSHYLVDV/HSHYLVN 历史点位。若要严谨对比，应取得官方全收益历史日线或覆盖基准日的价格日线。
港股红利指数（30）,2016-06-08,中证红利低波动指数（100）,2017-05-26,2017-05-26,starts_at_index_publish,2015-11-09,2017-05-26,2017-05-26,2017-05-26,12.7424,2026-04-30,23.1923902,82.00959159969862,6.937984487978888,26.174383118484947,result/dividend_total_return_index_skills/csi-dividend-low-volatility-100-total-return/csv/csi-dividend-low-volatility-100-total-return_daily.csv,per_index_skill_total_return
港股红利指数（30）,2016-06-08,沪港深红利成长低波动指数（100）,2019-04-25,2019-04-25,starts_at_index_publish,2017-05-19,2019-04-25,2019-04-25,2019-04-25,6187.08,2026-04-30,11850.84,91.54172889311273,9.70861022450691,21.205711771529135,result/dividend_total_return_indices/csv/沪港深红利成长低波动指数_100__daily.csv,official_or_project_total_return
港股红利指数（30）,2016-06-08,红利质量指数（50）,2020-05-21,2020-05-21,starts_at_index_publish,2014-06-23,2020-05-21,2020-05-21,2020-05-21,34.78221676958162,2026-04-30,56.50191661180072,62.44484066700948,8.508958154051903,29.1950257296792,result/dividend_total_return_index_skills/dividend-quality-50-total-return/csv/dividend-quality-50-total-return_daily.csv,per_index_skill_total_return
港股红利指数（30）,2016-06-08,龙头红利指数（50）,2021-12-17,2021-12-17,starts_at_index_publish,2011-10-24,2021-12-17,2021-12-17,2021-12-17,5897.39,2026-04-30,8005.24,35.742082514468244,7.248494930135618,19.980398944858614,result/dividend_total_return_index_skills/leading-dividend-50-total-return/csv/leading-dividend-50-total-return_daily.csv,per_index_skill_total_return
港股红利指数（30）,2016-06-08,港股通央企红利指数（48）,2023-09-13,2023-09-13,starts_at_index_publish,2018-02-01,2023-09-13,2023-09-13,2023-09-13,1505.42,2026-04-30,2662.21,76.84167873417384,24.221913360878954,20.776646053110216,result/dividend_total_return_index_skills/hk-connect-central-soe-dividend-48-total-return/csv/hk-connect-central-soe-dividend-48-total-return_daily.csv,per_index_skill_total_return
港股红利指数（30）,2016-06-08,国证自由现金流指数（100）,2024-08-15,2024-08-15,starts_at_index_publish,2014-10-13,2024-08-15,2024-08-15,2024-08-15,6191.0028,2026-04-30,9011.7777,45.562487873531566,24.621221712892382,15.844401254153329,result/dividend_total_return_index_skills/cni-free-cash-flow-100-total-return/csv/cni-free-cash-flow-100-total-return_daily.csv,per_index_skill_total_return
港股红利指数（30）,2016-06-08,中证全指自由现金流指数（100）,2024-12-11,2024-12-11,starts_at_index_publish,2014-09-17,2024-12-11,2024-12-11,2024-12-11,7306.83,2026-04-30,9158.95,25.34779103934266,17.75099684504058,14.212171130680007,result/dividend_total_return_indices/csv/中证全指自由现金流指数_100__daily.csv,official_or_project_total_return
恒生红利低波动指数（50）,2017-05-08,上证红利指数（50）,2005-01-04,2017-05-08,starts_at_main_publish,2006-06-28,2017-05-08,2017-05-08,2017-05-08,3856.42,2026-04-30,7618.7,97.55887584858496,7.879229456993131,23.391061168454776,result/dividend_total_return_indices/csv/上证红利指数_50__daily.csv,official_or_project_total_return
